event_id,event_type,origin_author,date,time,latitude,longitude,depth_km,depth_fixed,magnitude,magnitude_type
608097334,se,ISC,2015-09-08,01:06:24.72,-8.469,112.7703,18.5,,4.0,mb
611531626,ke,DJA,2015-09-10,01:23:16.10,-8.24,113.14,145.0,,2.8,MLv
607735778,se,ISC,2015-09-10,16:19:23.51,-8.7357,112.5077,75.6,,4.8,mb
611531687,ke,DJA,2015-09-14,01:25:20.10,-8.82,111.44,20.0,,2.9,MLv
608097918,ke,ISC,2015-09-16,08:25:34.74,-8.8594,114.878,106.3,,3.3,mb
608098493,ke,IDC,2015-09-18,23:36:26.89,-8.4197,113.3715,0.0,TRUE,3.3,mb
611531760,ke,DJA,2015-09-19,10:35:39.60,-7.58,113.01,127.0,,2.5,MLv
611531776,ke,DJA,2015-09-20,15:14:12.80,-7.25,114.31,10.0,,2.6,MLv
608098736,ke,ISC,2015-09-21,10:24:25.56,-8.3597,111.491,128.5,,3.0,mb
611531821,ke,DJA,2015-09-23,18:05:14.50,-8.84,111.38,75.0,,3.2,MLv
611531875,ke,DJA,2015-09-29,10:29:37.20,-7.8,111.58,10.0,,2.4,MLv
611531911,ke,DJA,2015-10-02,18:19:08.70,-8.47,111.17,11.0,,3.4,MLv
611531993,ke,DJA,2015-10-09,05:47:14.60,-8.18,114.91,18.0,,3.0,MLv
608099829,se,ISC,2015-10-09,06:31:01.42,-8.2612,114.9239,8.3,,4.2,mb
611532042,ke,DJA,2015-10-13,10:48:32.60,-8.08,114.51,74.0,,2.7,MLv
611532063,ke,DJA,2015-10-14,00:20:39.70,-7.56,111.85,12.0,,2.4,MLv
611532060,ke,DJA,2015-10-14,07:38:26.90,-7.58,111.75,10.0,,3.1,MLv
611532056,ke,DJA,2015-10-14,18:37:22.50,-8.77,111.2,26.0,,3.0,MLv
611532077,ke,DJA,2015-10-15,09:22:53,-8.76,110.86,12.0,,3.3,MLv
611532088,ke,DJA,2015-10-16,14:52:13.80,-8.12,111.69,115.0,,4.0,mb
611532087,ke,DJA,2015-10-16,23:50:13.30,-8.11,114.86,10.0,,2.9,MLv
611532101,ke,ISC,2015-10-17,07:32:34.89,-8.8513,112.3874,71.0,TRUE,3.8,MLv
608100454,ke,ISC,2015-10-21,09:44:25.09,-8.331,112.8296,135.9,,4.0,mb
611532178,ke,DJA,2015-10-22,00:41:41.30,-8.29,111.67,65.0,,3.2,MLv
607926193,se,ISC,2015-10-22,18:10:19.25,-6.3396,110.9194,18.2,,4.3,mb
611532175,ke,DJA,2015-10-22,18:23:26,-8.72,111.62,26.0,,3.2,MLv
611532198,ke,DJA,2015-10-24,15:43:20.30,-8.63,114.75,28.0,,3.2,MLv
611532212,ke,DJA,2015-10-25,01:44:59.70,-8.9,111.36,24.0,,3.0,MLv
611532243,ke,DJA,2015-10-27,11:54:40.20,-8.08,112.76,23.0,,3.0,MLv
611532251,ke,DJA,2015-10-28,04:22:20.50,-8.09,111.8,122.0,,2.6,MLv
611532248,ke,DJA,2015-10-28,16:08:22.90,-8.22,111.72,108.0,,2.1,MLv
611815177,ke,DJA,2015-10-31,22:14:31.30,-6.78,112.28,10.0,,2.6,MLv
611532293,ke,DJA,2015-11-02,11:07:19.70,-7.65,111.67,10.0,,3.1,MLv
611532311,ke,DJA,2015-11-04,23:56:37.40,-7.91,112.98,10.0,,2.5,MLv
611532449,ke,DJA,2015-11-10,12:46:40.10,-8.84,112.55,26.0,,2.7,MLv
608129858,se,ISC,2015-11-20,06:04:20.09,-8.9377,111.3001,58.0,TRUE,4.5,mb
611532703,ke,DJA,2015-11-21,16:28:48.90,-8.66,114.58,86.0,,2.4,MLv
608130354,ke,ISC,2015-11-28,04:27:43.27,-8.5291,112.7088,25.3,,3.4,mb
608186620,ke,IDC,2015-12-04,06:41:37.32,-7.3573,111.8869,0.0,TRUE,3.5,mb
611533028,ke,DJA,2015-12-07,16:48:22.90,-8.77,113.74,86.0,,2.7,MLv
611533070,ke,DJA,2015-12-08,07:01:03.40,-8.88,112.32,32.0,,3.1,MLv
608187321,ke,IDC,2015-12-10,02:55:37.79,-6.8998,111.9674,540.7,,2.6,mb
611533127,ke,DJA,2015-12-11,19:39:15.30,-8.64,113.35,88.0,,2.7,MLv
611533203,ke,DJA,2015-12-16,17:12:54.10,-8.43,113.26,10.0,,4.4,mb
611533221,ke,DJA,2015-12-17,05:35:57.50,-8.19,111.24,100.0,,3.0,MLv
611815258,ke,DJA,2016-01-03,08:20:54.80,-8.75,111.16,10.0,,2.9,MLv
611815276,ke,DJA,2016-01-04,03:24:14,-8.93,111.31,13.0,,3.1,MLv
608347255,ke,ISC,2016-01-10,10:43:36.62,-8.0693,114.1655,10.0,TRUE,3.7,mb
611815321,ke,DJA,2016-01-10,10:45:01.80,-8.04,114.15,11.0,,2.7,MLv
611815391,ke,DJA,2016-01-17,21:16:16,-8.78,114.68,10.0,,3.1,MLv
611815418,ke,DJA,2016-01-18,17:25:12.80,-8.82,111.2,22.0,,2.8,MLv
611815429,ke,DJA,2016-01-19,22:14:29,-8.77,112.53,110.0,,4.1,mb
608347992,ke,ISC,2016-01-20,12:12:45.93,-8.4535,112.6193,150.0,TRUE,3.7,mb
608348002,ke,ISC,2016-01-20,15:04:07.28,-8.3665,112.6236,10.0,TRUE,3.3,mb
611815449,ke,DJA,2016-01-20,15:53:05.60,-8.88,111.23,17.0,,3.6,MLv
611815468,ke,DJA,2016-01-22,00:06:56.10,-7.85,114.17,10.0,,2.3,MLv
611815544,ke,DJA,2016-02-04,09:09:51.20,-8.82,111.22,20.0,,2.9,MLv
611815557,ke,DJA,2016-02-05,02:26:37.40,-8.77,111.28,41.0,,3.7,MLv
611815549,ke,DJA,2016-02-05,17:16:07.10,-8.86,112.2,25.0,,2.6,MLv
611815564,ke,DJA,2016-02-07,20:00:50.30,-7.93,112.94,11.0,,2.1,MLv
611815579,ke,DJA,2016-02-10,21:18:20.50,-8.2,113.39,170.0,,3.2,MLv
611815587,ke,DJA,2016-02-11,06:29:19.50,-8.81,112.49,40.0,,3.6,MLv
611815586,ke,DJA,2016-02-11,09:17:47.70,-8.46,110.73,10.0,,3.1,MLv
611815594,ke,DJA,2016-02-12,11:00:58.40,-8.83,112.55,28.0,,3.2,MLv
611815606,ke,DJA,2016-02-13,18:18:03.90,-7.45,111.77,10.0,,3.1,MLv
611815605,ke,DJA,2016-02-13,18:41:27.20,-7.43,111.83,10.0,,3.3,MLv
611815604,ke,DJA,2016-02-13,18:52:32,-7.44,112.01,20.0,,2.4,MLv
608499011,ke,ISC,2016-02-13,19:36:11.32,-7.4105,111.8204,10.0,TRUE,3.6,mb
611815603,ke,DJA,2016-02-13,19:42:43.90,-7.44,111.81,11.0,,2.6,MLv
611815602,ke,DJA,2016-02-13,22:03:39.30,-7.46,111.85,14.0,,2.5,MLv
