# station latitude longitude elevation_m
EJA12 -7.6655 112.8997 27.1
EJA13 -7.9849 112.654 444.0
EJA14 -7.9578 111.4935 132.2
EJA15 -7.3895 111.4588 62.1
EJA16 -7.6981 111.5539 126.3
EJA17 -7.1455 111.8731 44.7
EJA18 -6.8882 111.6582 92.4
EJA19 -6.8989 112.0939 56.4
EJA20 -6.8889 112.9631 31.7
EJA21 -7.1948 113.2532 11.7
EJA22 -7.0546 113.6736 135.0
EJA23 -7.2089 113.0351 62.4
EJA24 -7.8929 112.1023 197.8
EJA25 -8.1047 113.2347 62.2
EJA31 -7.7684 113.1439 36.5
EJA32 -7.7069 114.0156 64.9
EJA33 -7.9175 113.8161 150.9
EJA34 -8.1697 113.6904 137.9
EJA35 -8.0791 112.254 287.3
EJA36 -7.4551 112.2234 137.9
EJA37 -6.3165 112.1456 41.0
EJA38 -7.6197 112.0111 68.4
EJA40 -7.1331 112.6157 89.2
EJA51 -7.3333 111.9173 5.3
EJA52 -7.53 112.7149 45.1
EJA53 -7.4628 112.7906 25.0
EJA54 -7.3089 112.5973 28.2
